Date,Description,Amount,Category
2024-08-01,Netflix Subscription,-15.99,Entertainment  
2024-08-02,Grocery Store,-87.34,Food
2024-08-03,Electric Bill,-120.45,Bills
2024-08-05,Gas Station,-45.67,Transportation
2024-08-07,Netflix Subscription,-15.99,Entertainment
2024-08-08,Restaurant Dinner,-67.89,Food
2024-08-10,Internet Bill,-89.99,Bills
2024-08-12,Grocery Store,-92.18,Food
2024-08-15,Car Insurance,-156.78,Bills
2024-08-18,Gas Station,-52.34,Transportation
2024-08-20,Netflix Subscription,-15.99,Entertainment
2024-08-22,Electric Bill,-118.90,Bills
2024-08-25,Grocery Store,-78.99,Food
2024-08-27,Restaurant Lunch,-23.45,Food
